TAG,Shape_Leng,Shape_Area
ES64C,20006.40812840000,25016022.88560000100
ES64D,20006.24727650000,25015620.23409999900
ES65A,20006.81740740000,25017046.13250000000
ES65B,20006.65565150000,25016642.19920000100
ES65C,20006.66860850000,25016674.20059999800
ES65D,20006.50711980000,25016270.54589999800
ES66A,20007.15222830000,25017883.67159999900
ES66B,20006.99023300000,25017478.74020000200
ES66C,20006.97851460000,25017449.23030000200
ES66D,20006.81679350000,25017044.98250000200
ES67A,38.83406704450,40.21426907570
ES67B,8801.55691205000,2555941.96867999990
ES67C,24058.91558090000,18616629.37319999900
ES67D,20762.68908910000,23202495.36389999800
ES70A,20005.55467200000,25013888.51210000000
ES70B,20005.37011080000,25013427.38140000000
ES70C,20005.52988000000,25013826.61300000200
ES70D,20005.34549350000,25013365.61230000100
ES71A,20005.64118230000,25014105.24460000200
ES71B,20005.45617420000,25013642.59629999800
ES71C,20005.59187460000,25013981.44080000000
ES71D,20005.40703710000,25013519.42749999800
ES72A,20005.77721450000,25014445.02959999800
ES72B,20005.59186610000,25013981.32490000100
ES72C,20005.70289680000,25014259.47100000100
ES72D,20005.51791840000,25013796.60090000200
ES73A,20005.96238350000,25014908.27699999900
ES73B,20005.77688820000,25014443.91169999900
ES73C,20005.86364460000,25014661.05669999900
ES73D,20005.67802450000,25014197.48000000000
ES74A,20006.19717280000,25015495.43220000000
ES74B,20006.01124440000,25015030.46570000100
ES74C,20006.07372190000,25015186.61039999900
