scientificName,accessRights,datasetName,ownerInstitutionCode,basisOfREcord,countryCode,geodeticDatum,kingdom,eventDate,year,locality,localityLatitude,LocalityLongitude,municipality,recordedBy,sex,lifestage,occurrenceID,georeferenceRemarks,decimalLongitude,decimalLatitude
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,12/8/1895,1895,,,,Etterbeek,E. Coucke,Male,Adult,RBINS:modirisk:collection:59,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/10/1911,1911,,,,Francorchamps,Guilliaume Severin,Female,Adult,RBINS:modirisk:collection:60,centroid of respective UTM square given,5.979047768999941,50.446340741671165
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/10/1911,1911,,,,Francorchamps,Guilliaume Severin,Male,Adult,RBINS:modirisk:collection:61,centroid of respective UTM square given,5.979047768999941,50.446340741671165
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/10/1936,1936,,,,Antwerpen,Brandligt,Male,Adult,RBINS:modirisk:collection:62,centroid of respective UTM square given,4.395395238247643,51.19558150031238
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/10/1936,1936,,,,Antwerpen,Brandligt,Female,Adult,RBINS:modirisk:collection:63,centroid of respective UTM square given,4.395395238247643,51.19558150031238
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/5/1892,1892,,,,Ixelles,E. Coucke,Female,Adult,RBINS:modirisk:collection:64,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/7/1917,1917,Genval,50.7211,4.49388,Rixensart,André Léon Tonnoir,Male,Adult,RBINS:modirisk:collection:65,centroid of respective UTM square given,4.523679733033983,50.744320946323356
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/7/1933,1933,,,,Antwerpen,Brandligt,Female,Adult,RBINS:modirisk:collection:66,centroid of respective UTM square given,4.395395238247643,51.19558150031238
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/7/1933,1933,,,,Antwerpen,Brandligt,Male,Adult,RBINS:modirisk:collection:67,centroid of respective UTM square given,4.395395238247643,51.19558150031238
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/8/1894,1894,,,,Brussel,E. Coucke,Female,Adult,RBINS:modirisk:collection:68,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,14/4/1931,1931,,,,Liége,,Male,Adult,RBINS:modirisk:collection:69,centroid of respective UTM square given,5.5808582499078465,50.63575893097075
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,14/8/1894,1894,,,,Etterbeek,E. Coucke,Male,Adult,RBINS:modirisk:collection:70,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,15/4/1892,1892,,,,Sint-Lambrechts-Woluwe,E. Coucke,Female,Adult,RBINS:modirisk:collection:71,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,15/4/1892,1892,,,,Sint-Lambrechts-Woluwe,E. Coucke,Female,Adult,RBINS:modirisk:collection:72,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,15/6/1894,1894,,,,Brussel,E. Coucke,Female,Adult,RBINS:modirisk:collection:73,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,15/8/1893,1893,,,,Fléron,E. Coucke,Female,Adult,RBINS:modirisk:collection:74,centroid of respective UTM square given,5.6514870605177,50.63417213139914
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,15/8/1893,1893,,,,Etterbeek,E. Coucke,Female,Adult,RBINS:modirisk:collection:75,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,15/8/1893,1893,,,,Etterbeek,E. Coucke,Male,Adult,RBINS:modirisk:collection:76,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,16/9/1911,1911,,,,Francorchamps,Guilliaume Severin,Female,Adult,RBINS:modirisk:collection:77,centroid of respective UTM square given,5.979047768999941,50.446340741671165
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,18/3/1892,1892,,,,Ixelles,E. Coucke,Female,Adult,RBINS:modirisk:collection:78,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,18/4/1895,1895,,,,Etterbeek,E. Coucke,Female,Adult,RBINS:modirisk:collection:79,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,18/4/1896,1896,,,,Oudergem,E. Coucke,Female,Adult,RBINS:modirisk:collection:80,centroid of respective UTM square given,4.455625713577015,50.83512448461186
